floor,count_floors,rooms,square,district,price
1,5,1,24.0,1,3000000
13,16,2,39.0,1,4800000
5,5,2,44.4,3,4200000
4,4,1,35.5,1,4400000
3,5,2,47.9,2,5400000
4,5,3,55.0,1,6600000
3,5,3,58.8,1,6400000
9,16,3,74.4,1,8300000
4,10,2,72.6,2,8700000
4,5,2,50.0,1,5300000
2,5,2,49.4,1,5600000
1,5,3,58.9,2,6300000
5,5,2,44.0,2,4800000
4,5,2,43.0,3,5400000
3,3,1,24.5,2,2300000
4,5,3,72.0,2,8200000
2,3,2,47.4,2,4300000
4,5,2,42.0,1,4400000
4,12,1,28.0,1,3700000
1,5,2,49.0,1,5200000
1,9,2,58.1,1,6900000
7,12,1,33.4,1,4400000
1,5,2,43.0,2,4400000
4,8,2,58.0,1,7700000
1,5,3,56.4,1,6700000
4,5,3,58.0,1,5800000
5,5,2,30.0,1,3400000
4,5,1,32.5,1,3500000
1,14,1,32.0,1,3900000
2,5,1,30.9,3,3600000
2,5,3,64.0,1,7400000
16,16,2,57.8,1,7700000
3,5,4,62.1,1,7100000
9,9,1,38.6,1,4500000
3,5,2,45.0,1,5300000
3,5,3,59.7,1,7000000
1,2,2,41.7,2,2700000
5,5,2,41.9,2,4300000
2,5,3,52.7,2,5700000
1,5,1,31.9,1,4000000
13,15,1,42.7,1,5100000
9,9,2,55.0,1,6500000
5,5,2,59.4,1,5900000
4,4,1,30.7,2,3700000
5,5,2,50.9,2,5700000
4,5,2,47.2,1,4800000
3,5,1,34.3,1,3900000
5,5,3,57.7,2,6100000
2,5,2,44.9,2,5000000
1,5,2,53.1,3,4500000
3,5,1,33.6,1,3800000
1,2,2,47.0,2,3100000
5,5,1,30.4,2,3500000
19,19,2,50.4,1,5900000
1,5,1,30.5,2,3400000
1,2,2,38.8,2,3700000
3,5,1,24.0,1,3000000
2,2,2,39.1,1,3700000
3,3,2,45.4,1,4500000
1,5,2,44.9,1,4900000
3,3,2,43.2,2,4400000
10,15,1,22.4,1,2700000
1,2,2,42.5,2,3100000
2,5,2,50.9,2,5200000
1,5,2,42.7,1,4900000
3,10,1,18.7,3,3000000
3,5,2,45.4,1,5400000
5,5,1,34.0,1,3800000
2,2,1,26.0,1,2500000
3,3,3,49.9,2,4400000
3,5,2,49.1,2,5000000
1,5,1,33.1,3,4200000
5,5,2,47.3,2,5200000
5,5,1,36.8,3,4400000
2,9,1,38.4,1,4800000
5,5,2,32.1,2,3000000
4,5,4,63.6,3,5500000
1,9,2,53.0,1,5400000
5,5,2,50.0,2,5400000
2,2,2,42.3,3,3600000
1,3,2,39.7,1,4500000
3,5,2,44.4,2,4800000
1,5,1,31.0,2,3700000
2,5,2,44.8,1,5200000
4,5,1,34.2,1,4300000
3,3,1,37.0,2,3500000
1,4,2,35.5,1,4000000
10,22,1,29.9,3,3900000
4,5,1,35.8,3,4300000
5,5,1,31.4,1,3600000
3,5,1,18.4,1,2400000
9,12,1,37.6,1,4700000
1,5,2,45.9,1,4900000
1,5,1,34.0,1,4200000
13,14,2,50.1,1,5400000
10,12,1,22.3,1,2800000
5,5,2,48.0,1,4900000
3,5,1,18.4,1,2400000
1,2,2,51.1,2,4100000
4,5,1,35.8,3,4400000
5,5,2,42.7,2,3900000
10,12,1,25.8,1,3200000
1,2,2,47.5,1,5300000
1,3,2,39.6,1,5000000
1,3,2,49.9,2,4600000
1,5,1,18.6,1,2300000
5,5,2,44.2,2,4700000
5,5,2,44.1,2,4500000
5,5,1,31.5,1,3700000
1,5,1,33.8,1,4300000
2,15,1,29.1,1,3900000
2,2,2,34.8,1,3100000
4,5,2,44.0,2,4400000
8,9,3,66.1,1,6100000
5,5,1,25.0,1,3100000
1,5,3,49.0,1,4800000
5,5,3,57.8,1,5900000
2,5,1,31.3,1,3900000
5,5,2,44.2,2,4700000
5,5,2,41.4,1,4300000
1,3,3,62.5,2,6200000
2,5,3,60.7,2,6400000
5,5,1,41.5,1,4200000
1,5,2,42.2,2,4200000
1,3,2,42.5,1,3300000
3,4,1,32.6,3,4200000
4,5,1,31.6,2,3800000
2,5,1,31.3,1,3900000
13,16,1,42.7,1,5500000
3,5,2,44.9,1,4400000
1,3,1,34.3,1,3900000
3,4,1,22.0,1,2500000
1,2,2,51.1,2,4100000
5,5,1,24.6,1,3000000
2,10,1,39.0,1,4500000
5,5,2,46.0,1,5000000
11,11,1,23.6,3,3100000
3,5,1,34.5,1,4300000
1,5,1,35.7,1,4500000
4,5,1,32.6,1,3600000
2,9,1,32.1,1,4200000
5,5,1,32.0,1,3800000
5,5,2,41.0,2,4200000
4,4,1,31.3,1,3800000
3,5,2,44.8,1,5000000
4,4,2,42.3,2,4600000
1,5,2,40.7,1,4400000
4,5,1,30.4,1,3800000
5,5,2,32.1,2,3000000
14,16,1,43.0,1,5100000
1,5,2,42.6,2,4500000
2,5,1,31.5,2,4200000
5,5,1,30.0,1,3800000
1,2,2,41.7,2,2700000
1,5,1,34.3,1,4300000
1,3,1,33.3,1,3500000
1,5,1,34.5,1,4300000
1,5,1,32.4,1,3600000
5,5,2,48.6,1,5300000
5,5,1,29.6,1,3800000
1,2,3,51.5,2,5500000
5,5,1,29.6,1,3800000
4,5,2,50.5,3,4400000
5,5,2,44.0,2,4900000
1,5,2,52.0,3,4800000
1,2,2,51.1,2,4100000
9,9,1,38.6,1,4600000
1,2,2,48.0,2,2700000
3,7,2,42.6,1,6200000
4,4,2,43.4,2,5200000
5,5,2,46.0,1,5200000
4,4,2,48.5,2,6000000
1,9,1,49.6,1,5800000
5,9,1,41.5,1,5300000
11,16,1,43.7,1,5200000
3,9,1,45.0,1,6200000
1,5,3,61.1,1,5500000
9,9,1,37.0,1,4500000
5,5,3,61.9,1,6000000
2,5,2,47.4,2,5000000
3,5,2,45.5,1,5400000
3,5,1,38.2,1,4900000
2,5,2,48.3,3,4700000
1,9,1,41.5,1,4900000
4,5,2,46.8,1,4900000
5,5,2,48.0,3,5700000
7,16,2,44.6,1,5600000
4,9,1,43.0,1,5800000
1,3,1,42.1,2,4600000
5,5,2,45.7,3,5200000
5,10,2,49.8,2,6100000
4,4,2,42.6,2,5400000
2,5,2,48.1,1,5700000
3,9,1,41.5,1,6000000
4,4,2,43.0,2,5200000
1,10,3,66.7,1,6400000
1,3,3,62.5,2,5900000
5,5,4,63.2,2,6400000
5,5,2,50.0,2,5400000
2,5,3,59.0,2,6300000
1,10,3,66.7,1,6400000
3,5,2,51.0,2,5300000
4,9,1,35.2,3,6000000
5,6,3,56.3,3,6300000
2,5,2,46.0,1,5300000
9,9,2,49.58,1,6000000
1,5,2,45.0,1,5300000
3,13,1,37.9,1,5300000
3,5,2,45.1,1,5300000
4,5,3,61.6,1,6100000
5,10,2,48.5,2,5900000
4,5,3,68.1,1,6500000
2,5,2,44.9,2,5000000
11,14,2,54.0,1,6000000
5,6,4,64.3,1,7000000
1,5,3,60.0,1,6400000
5,5,2,50.9,2,5700000
2,5,3,65.0,1,6300000
5,5,3,57.0,2,6200000
3,5,2,47.9,1,5100000
4,5,3,57.0,2,6600000
5,10,1,39.2,3,5100000
3,5,2,47.7,1,5500000
4,5,3,57.0,2,6600000
9,9,2,47.6,1,5600000
5,5,2,51.0,1,5900000
