author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Sminex;developer;https://www.cian.ru/sale/flat/297972141/;Москва;sale;flat;2;5;2;88.5;196080000;Тверской;;;Площадь Революции;Ильинка 3/8 ЖК
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/297935793/;Москва;sale;flat;3;5;2;52.0;39000000;Донской;4-й Верхний Михайловский проезд;4к1;Шаболовская;
VESPER;developer;https://www.cian.ru/sale/flat/289484533/;Москва;sale;flat;8;9;2;62.3;85974000;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
Marry Lane Group;real_estate_agent;https://www.cian.ru/sale/flat/292853086/;Москва;sale;flat;5;7;2;70.2;29990000;Беговой;Беговая ;4;Беговая;
Sminex;developer;https://www.cian.ru/sale/flat/293713880/;Москва;sale;flat;2;14;2;85.6;156750000;Якиманка;;;Боровицкая;Лаврушинский ЖК
SKYEST;real_estate_agent;https://www.cian.ru/sale/flat/297805133/;Москва;sale;flat;7;12;2;78.0;109300000;Хамовники; Ефремова;10с1к4/2;Фрунзенская;Садовые кварталы
ID 39404589;developer;https://www.cian.ru/sale/flat/300085961/;Москва;sale;flat;23;34;2;39.6;17831880;Нагорный;;2;Нагорная;Твелв ЖК
ID 413522;realtor;https://www.cian.ru/sale/flat/284797468/;Москва;sale;flat;7;12;2;78.0;109290000;Хамовники; Ефремова;10с1к4/2;Фрунзенская;Садовые кварталы
MR Group;developer;https://www.cian.ru/sale/flat/299093643/;Москва;sale;flat;3;27;2;58.0;30272464;Даниловский;Дубининская ;59к6;Серпуховская;Павелецкая Сити
ID 413522;realtor;https://www.cian.ru/sale/flat/298451339/;Москва;sale;flat;7;14;2;95.0;162900000;Хамовники; Усачева;15А;Спортивная;Садовые кварталы
Sminex;developer;https://www.cian.ru/sale/flat/294328854/;Москва;sale;flat;3;6;2;120.3;217970000;Басманный;Потаповский переулок;5С4;Чистые пруды;Чистые Пруды
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/299502767/;Москва;sale;flat;5;13;2;60.0;82000000;Хамовники; Усачева;11;Спортивная;Садовые кварталы
Regions Development;developer;https://www.cian.ru/sale/flat/300085737/;Москва;sale;flat;2;24;2;72.1;30222250;Нагатинский затон;;;Технопарк;Дрим Тауэрс ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/299250886/;Москва;sale;flat;14;17;2;69.0;86000000;Пресненский; Сергея Макеева;9к2;Улица 1905 года;RedSide
Sminex;developer;https://www.cian.ru/sale/flat/299801831/;Москва;sale;flat;2;23;2;56.0;49950000;Пресненский;;;Улица 1905 года;Лайф Тайм ЖК
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/292878504/;Москва;sale;flat;11;15;2;81.1;29000000;Крылатское;Осенняя ;4К1;Крылатское;
ID 39404589;developer;https://www.cian.ru/sale/flat/299951028/;Москва;sale;flat;10;27;2;38.7;18707580;Даниловский;;;Серпуховская;Era
ID 104053634;homeowner;https://www.cian.ru/sale/flat/299900027/;Москва;sale;flat;21;26;2;87.0;37000000;Хорошевский;проезд Березовой Рощи;12;ЦСКА;Гранд-парк
ANT Development;developer;https://www.cian.ru/sale/flat/300028433/;Москва;sale;flat;2;10;2;59.8;60562282;Дорогомилово;;3к8;Парк Победы;Виктори Парк Резиденсез ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/294872333/;Москва;sale;flat;17;18;2;117.0;179000000;Пресненский;2-я Звенигородская ;11;Улица 1905 года;Резиденция МОНЭ
Компания Пионер;developer;https://www.cian.ru/sale/flat/299327996/;Москва;sale;flat;5;22;2;47.4;22671988;Марьина роща;Полковая ;1С12;Савёловская;PRIDE
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/299018185/;Москва;sale;flat;2;5;2;105.0;160000000;Тверской;Никольская ;10/2С2б;Лубянка;St. Nickolas
VESPER;developer;https://www.cian.ru/sale/flat/262519758/;Москва;sale;flat;-1;-1;-1;2.0;103787040;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/272186797/;Москва;sale;flat;11;24;2;46.5;21900000;Головинский;Головинское шоссе;11;Водный стадион;Талисман на Водном
Ташир;developer;https://www.cian.ru/sale/flat/264100219/;Москва;sale;flat;28;32;2;78.1;33326832;Черемушки;Херсонская ;43к5;Зюзино;ONYX Deluxe
Dream Realty;real_estate_agent;https://www.cian.ru/sale/flat/299817616/;Москва;sale;flat;4;4;2;51.3;38000000;Хорошевский;Ленинградский проспект;37/7;Аэропорт;Прайм Парк
ID 39404589;developer;https://www.cian.ru/sale/flat/299905847/;Москва;sale;flat;23;42;2;41.6;25380160;Котловка;Севастопольский проспект;22А;Нагорная;Eniteo
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/297459147/;Москва;sale;flat;3;21;2;51.0;52000000;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
