author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Sminex;developer;https://www.cian.ru/sale/flat/297972137/;Москва;sale;flat;2;5;1;54.7;124590000;Тверской;;;Площадь Революции;Ильинка 3/8 ЖК
Юлия Шмелева;realtor;https://www.cian.ru/sale/flat/299985803/;Москва;sale;flat;3;16;1;34.8;14500000;Кунцево;Кунцевская ;13/6;Рабочий посёлок;
Sminex;developer;https://www.cian.ru/sale/flat/293713671/;Москва;sale;flat;2;14;1;72.6;133260000;Якиманка;;;Полянка;Лаврушинский ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/300041862/;Москва;sale;flat;2;37;1;40.3;28000000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
MR Group;developer;https://www.cian.ru/sale/flat/299093496/;Москва;sale;flat;18;41;1;37.7;24335267;Даниловский;Дубининская ;59к7;Павелецкая;Павелецкая Сити
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/299860953/;Москва;sale;flat;9;41;1;40.5;27000000;Хорошевский;Ленинградский проспект;37/3;Динамо;Прайм Парк
Sminex;developer;https://www.cian.ru/sale/flat/294328835/;Москва;sale;flat;3;6;1;78.7;158480000;Басманный;Потаповский переулок;5С4;Чистые пруды;Чистые Пруды
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/292933473/;Москва;sale;flat;16;40;1;41.1;31500000;Хорошевский;Ленинградский проспект;37/4;Динамо;Прайм Парк
Regions Development;developer;https://www.cian.ru/sale/flat/299905776/;Москва;sale;flat;4;6;1;42.4;24066777;Нагатинский затон;проспект Андропова;9/1к3;Технопарк;Dream Towers
ALFA real estate;real_estate_agent;https://www.cian.ru/sale/flat/299848141/;Москва;sale;flat;20;22;1;38.4;15990000;Южное Тушино;бульвар Яна Райниса;45К2;Сходненская;
ID 39404589;developer;https://www.cian.ru/sale/flat/299992090/;Москва;sale;flat;10;27;1;41.9;22496110;Даниловский;;;Серпуховская;Era
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/298873799/;Москва;sale;flat;34;58;1;43.0;24900000;Хорошево-Мневники; Народного Ополчения;15К1;Народное Ополчение;Wellton Towers
Компания Пионер;developer;https://www.cian.ru/sale/flat/296085449/;Москва;sale;flat;-1;-1;-1;202.0;15969096;Марьина роща;Полковая ;1С12;Савёловская;PRIDE
Dream Realty;real_estate_agent;https://www.cian.ru/sale/flat/296014223/;Москва;sale;flat;2;25;1;37.0;8600000;Московский; Никитина;11к4;;Город-парк Первый Московский
VESPER;developer;https://www.cian.ru/sale/flat/287317369/;Москва;sale;flat;5;21;1;65.9;78259545;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
ID 43533634;realtor;https://www.cian.ru/sale/flat/299562302/;Москва;sale;flat;20;25;1;36.0;18970000;Щукино; Берзарина;30Б;Октябрьское поле;Октябрьское поле
MR Group;developer;https://www.cian.ru/sale/flat/291757373/;Москва;sale;flat;8;54;1;37.72;19018464;Савеловский;2-я Хуторская ;34;Дмитровская;SYMPHONY 34
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/299854482/;Москва;sale;flat;9;52;1;30.0;17200000;Хорошево-Мневники; Народного Ополчения;15К2;Народное Ополчение;Wellton Towers
Absolute Premium;developer;https://www.cian.ru/sale/flat/299898685/;Москва;sale;flat;5;18;1;49.8;48288000;Хамовники;;;Воробьёвы горы;Коллекция Лужники ЖК
Андрей Иванов;realtor;https://www.cian.ru/sale/flat/299174112/;Москва;sale;flat;22;33;1;34.4;18800000;Хорошево-Мневники;Причальный проезд;10Б;Шелепиха;Level Причальный
MR Group;developer;https://www.cian.ru/sale/flat/299928841/;Москва;sale;flat;7;17;1;61.96;83958898;Мещанский;м. Цветной бульвар;;Цветной бульвар;Клубный дом Forum
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/298873800/;Москва;sale;flat;17;58;1;30.0;18900000;Хорошево-Мневники; Народного Ополчения;15К2;Народное Ополчение;Wellton Towers
MR Group;developer;https://www.cian.ru/sale/flat/300122102/;Москва;sale;flat;2;54;1;36.06;20713585;Хорошево-Мневники; Мневники;;Полежаевская;JOIS
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/293760838/;Москва;sale;flat;18;48;1;42.4;20000000;Хорошево-Мневники; Народного Ополчения;15К1;Народное Ополчение;Wellton Towers
Рублево-Архангельское;developer;https://www.cian.ru/sale/flat/298849163/;Москва;sale;flat;3;10;1;45.5;22900150;;;В14 кв-л;Павшино;Сберсити ЖК
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/296667617/;Москва;sale;flat;7;48;1;42.0;22200000;Хорошево-Мневники; Народного Ополчения;15К1;Народное Ополчение;Wellton Towers
ЭЛИТА-ЭКО;developer;https://www.cian.ru/sale/flat/292406404/;Москва;sale;flat;5;14;1;30.45;32429250;Дорогомилово;1-й Можайский тупик;8АС1;Киевская;D'ORO MILLE
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/299290246/;Москва;sale;flat;56;58;1;38.0;27990000;Хорошево-Мневники; Народного Ополчения;15К2;Народное Ополчение;Wellton Towers
Рублево-Архангельское;developer;https://www.cian.ru/sale/flat/299934983/;Москва;sale;flat;3;13;1;56.33;24914759;;;В21 кв-л;Опалиха;Сберсити ЖК
ID 114449734;homeowner;https://www.cian.ru/sale/flat/299862984/;Москва;sale;flat;6;9;1;33.2;12900000;Аэропорт; 8 Марта;7/5;Гражданская;
Главстрой;developer;https://www.cian.ru/sale/flat/296921065/;Москва;sale;flat;3;16;1;44.7;21197410;Филевский парк;Береговой проезд;2;Народное Ополчение;Береговой-2
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/300032900/;Москва;sale;flat;5;9;1;35.0;9800000;Коптево;бульвар Матроса Железняка;19;Коптево;
Hutton Development;developer;https://www.cian.ru/sale/flat/293911173/;Москва;sale;flat;-1;-1;-1;202.0;101640000;Якиманка;Софийская набережная;34С3;Новокузнецкая;Клубный дом DUO
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/299832545/;Москва;sale;flat;5;5;1;30.0;10500000;Хорошевский; Куусинена;6К5;Полежаевская;
Neva Towers;developer;https://www.cian.ru/sale/flat/298051604/;Москва;sale;flat;65;66;1;45.5;50869000;Пресненский;1-й Красногвардейский проезд;22с1;Выставочная;NEVA TOWERS
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/300044680/;Москва;sale;flat;37;37;1;48.0;40000000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
EraOneHolding;developer;https://www.cian.ru/sale/flat/274788987/;Москва;sale;flat;8;8;1;111.7;88184211;Арбат; Арбат;24;Смоленская;Turandot Residences
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/297303079/;Москва;sale;flat;23;43;1;45.0;28900000;Хорошево-Мневники;Шелепихинская набережная;34к6;Шелепиха;Сердце Столицы
COLDY;developer;https://www.cian.ru/sale/flat/297997304/;Москва;sale;flat;-1;-1;-1;202.0;183834633;Хамовники;переулок 1-й Тружеников;12;Киевская;Хамовники 12
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/297307585/;Москва;sale;flat;16;26;1;38.0;17000000;Лефортово; Крузенштерна;12к3;Авиамоторная;Символ
Рублево-Архангельское;developer;https://www.cian.ru/sale/flat/299137613/;Москва;sale;flat;4;12;1;45.87;22384560;;;В19 кв-л;Павшино;Сберсити ЖК
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/297235267/;Москва;sale;flat;30;43;1;46.0;29900000;Хорошево-Мневники;Шелепихинская набережная;34к6;Шелепиха;Сердце Столицы
Sminex;developer;https://www.cian.ru/sale/flat/299262122/;Москва;sale;flat;8;14;1;44.6;26270000;Раменки;проспект Генерала Дорохова;39к2Л;Ломоносовский проспект;Собрание клубных домов West Garden
Unique;real_estate_agent;https://www.cian.ru/sale/flat/287678758/;Москва;sale;flat;4;26;1;46.0;32000000;Очаково-Матвеевское;Нежинская ;5к2;Давыдково;Городские резиденции SPIRES
Рублево-Архангельское;developer;https://www.cian.ru/sale/flat/291868741/;Москва;sale;flat;3;13;1;54.02;29846050;;;В20 кв-л;Павшино;Сберсити ЖК
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/300136415/;Москва;sale;flat;12;14;1;54.5;36999000;Пресненский; Малая Грузинская;28;Краснопресненская;
VOSHOD;developer;https://www.cian.ru/sale/flat/298229709/;Москва;sale;flat;12;17;1;68.9;40651000;Филевский парк; Василисы Кожиной;вл25/1;Филёвский парк;AHEAD
Никита Гаврилов;realtor;https://www.cian.ru/sale/flat/300099191/;Москва;sale;flat;15;18;1;40.0;13650000;Марьино;Новомарьинская ;15;Братиславская;
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/300112863/;Москва;sale;flat;4;6;1;51.2;55500800;Замоскворечье;Космодамианская набережная;4/22С8;Новокузнецкая;Клубный дом Космо 4/22
ID 104795526;real_estate_agent;https://www.cian.ru/sale/flat/297486676/;Москва;sale;flat;2;9;1;41.4;24391000;Хамовники;Комсомольский проспект;23/7;Фрунзенская;
FORMA;developer;https://www.cian.ru/sale/flat/298003630/;Москва;sale;flat;7;33;1;58.47;35386102;Пресненский;к2.3;к2.3;Белорусская;Репаблик ЖК
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/297949006/;Москва;sale;flat;3;13;1;37.0;26000000;Хорошево-Мневники; Нижние Мневники;35;Терехово ;Остров
Группа Родина;developer;https://www.cian.ru/sale/flat/293200763/;Москва;sale;flat;4;13;1;34.0;10774000;; 1-я Ватутинская;14к1;Ольховая;Russian Design District
Аспект-Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/299616657/;Москва;sale;flat;11;11;1;43.9;18500000;Даниловский;набережная Марка Шагала;;Технопарк;Shagal
Мангазея;developer;https://www.cian.ru/sale/flat/299167967/;Москва;sale;flat;-1;-1;-1;1.0;25685400;Щукино;Щукинская ;3;Щукинская;Интонация
Екатерина Рычкова;realtor;https://www.cian.ru/sale/flat/299911804/;Москва;sale;flat;16;22;1;43.1;15500000;; Родниковая;30к3;Саларьево;Румянцево-Парк
